rentree_scolaire;departement;numero_lycee;secteur;terminales_g;terminales_g_filles;terminales_g_garcons;terminales_sti2d;terminales_sti2d_filles;terminales_sti2d_garcons;terminales_stl;terminales_stl_filles;terminales_stl_garcons;terminales_stmg;terminales_stmg_filles;terminales_stmg_garcons;terminales_st2s;terminales_st2s_filles;terminales_st2s_garcons;terminales_std2a;terminales_std2a_filles;terminales_std2a_garcons;terminales_sthr;terminales_tmd
2020;HAUTE SAVOIE;0741476C;PUBLIC;225;98;127;104;11;93;15;10;5;0;0;0;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0740006E;PUBLIC;285;142;143;157;14;143;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0740013M;PUBLIC;181;118;63;0;0;0;0;0;0;51;32;19;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0741669M;PUBLIC;86;42;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0740017S;PUBLIC;282;159;123;64;0;64;0;0;0;95;44;51;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0740143D;PRIVE;58;45;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0740051D;PUBLIC;206;105;101;0;0;0;0;0;0;30;16;14;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0740092Y;PRIVE;159;91;68;0;0;0;0;0;0;26;13;13;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0740027C;PUBLIC;247;153;94;36;2;34;0;0;0;49;25;24;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0741469V;PRIVE;68;47;21;0;0;0;0;0;0;0;0;0;17;16;1;0;0;0;0;0
2020;HAUTE SAVOIE;0741532N;PUBLIC;245;147;98;42;1;41;0;0;0;62;32;30;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0740037N;PUBLIC;240;126;114;0;0;0;0;0;0;53;21;32;34;28;6;0;0;0;0;0
2020;HAUTE SAVOIE;0740097D;PRIVE;83;56;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0740098E;PRIVE;52;33;19;0;0;0;0;0;0;21;8;13;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0740099F;PRIVE;90;51;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0740046Y;PUBLIC;377;239;138;0;0;0;0;0;0;106;52;54;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0740047Z;PUBLIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79;0
2020;HAUTE SAVOIE;0740100G;PRIVE;184;91;93;0;0;0;16;13;3;0;0;0;0;0;0;0;0;0;0;0
2020;HAUTE SAVOIE;0741307U;PRIVE;0;0;0;0;0;0;0;0;0;22;9;13;34;28;6;0;0;0;0;0
2020;HAUTE SAVOIE;0740104L;PRIVE;148;86;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;ISERE;0380008C;PUBLIC;359;191;168;87;8;79;0;0;0;158;86;72;0;0;0;0;0;0;0;0
2020;ISERE;0382920T;PUBLIC;266;141;125;0;0;0;0;0;0;106;53;53;0;0;0;0;0;0;0;0
2020;ISERE;0380018N;PRIVE;0;0;0;0;0;0;0;0;0;0;0;0;20;19;1;0;0;0;0;0
2020;ISERE;0380027Y;PUBLIC;276;144;132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;ISERE;0380028Z;PUBLIC;156;101;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;ISERE;0380029A;PUBLIC;245;134;111;0;0;0;0;0;0;68;28;40;0;0;0;0;0;0;0;0
2020;ISERE;0380032D;PUBLIC;122;76;46;0;0;0;0;0;0;98;42;56;0;0;0;0;0;0;0;0
2020;ISERE;0380033E;PUBLIC;62;12;50;85;4;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;ISERE;0380034F;PUBLIC;25;14;11;0;0;0;50;33;17;62;33;29;92;79;13;0;0;0;0;0
2020;ISERE;0380035G;PUBLIC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;0
2020;ISERE;0381603L;PUBLIC;161;90;71;0;0;0;22;9;13;63;39;24;0;0;0;69;55;14;0;0
2020;ISERE;0381666E;PRIVE;179;79;100;45;2;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;ISERE;0381803D;PRIVE;100;67;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;ISERE;0383242T;PUBLIC;167;96;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;ISERE;0380014J;PUBLIC;212;133;79;0;0;0;0;0;0;53;27;26;0;0;0;0;0;0;0;0
2020;ISERE;0381660Y;PRIVE;93;45;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;ISERE;0380049X;PUBLIC;91;59;32;0;0;0;0;0;0;14;7;7;0;0;0;0;0;0;0;0
2020;ISERE;0380073Y;PUBLIC;188;126;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;ISERE;0381630R;PUBLIC;46;34;12;0;0;0;0;0;0;4;3;1;0;0;0;0;0;0;0;0
2020;ISERE;0383208F;PRIVE;184;99;85;0;0;0;0;0;0;60;37;23;36;34;2;0;0;0;0;0
2020;ISERE;0381670J;PRIVE;78;45;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;ISERE;0380053B;PUBLIC;184;96;88;29;1;28;0;0;0;57;29;28;0;0;0;0;0;0;0;0
2020;ISERE;0382895R;PUBLIC;175;105;70;0;0;0;22;10;12;96;47;49;54;50;4;0;0;0;0;0
2020;ISERE;0382863F;PUBLIC;280;159;121;27;0;27;0;0;0;76;30;46;0;0;0;0;0;0;0;0
2020;ISERE;0383119J;PUBLIC;237;163;74;0;0;0;0;0;0;82;42;40;0;0;0;0;0;0;0;0
2020;ISERE;0383069E;PUBLIC;198;115;83;0;0;0;0;0;0;60;39;21;0;0;0;0;0;0;0;0
2020;ISERE;0383072H;PRIVE;331;172;159;16;1;15;0;0;0;0;0;0;32;27;5;0;0;0;0;0
2020;ISERE;0382270L;PUBLIC;263;136;127;0;0;0;0;0;0;64;33;31;0;0;0;0;0;0;0;0
2020;ISERE;0382838D;PUBLIC;214;128;86;30;1;29;0;0;0;99;66;33;0;0;0;0;0;0;0;0
2020;ISERE;0381599G;PUBLIC;154;100;54;0;0;0;0;0;0;69;40;29;0;0;0;0;0;0;0;0
2020;ISERE;0380063M;PUBLIC;158;83;75;0;0;0;0;0;0;41;23;18;0;0;0;0;0;0;0;0
2020;ISERE;0382170C;PRIVE;0;0;0;17;1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;ISERE;0382203N;PUBLIC;192;96;96;68;8;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;ISERE;0382780R;PUBLIC;287;155;132;0;0;0;0;0;0;101;40;61;0;0;0;0;0;0;0;0
2020;ISERE;0380081G;PUBLIC;372;229;143;0;0;0;0;0;0;120;47;73;0;0;0;0;0;0;0;0
2020;ISERE;0380083J;PUBLIC;59;11;48;115;9;106;15;5;10;0;0;0;0;0;0;0;0;0;0;0
2020;ISERE;0381678T;PRIVE;202;116;86;0;0;0;12;6;6;35;20;15;0;0;0;0;0;0;0;0
2020;ISERE;0382854W;PRIVE;136;78;58;0;0;0;0;0;0;0;0;0;26;23;3;0;0;0;0;0
2020;ISERE;0383263R;PUBLIC;255;133;122;0;0;0;0;0;0;60;30;30;0;0;0;0;0;0;0;0
2020;ISERE;0380097Z;PUBLIC;98;47;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;ISERE;0382440W;PUBLIC;222;115;107;0;0;0;0;0;0;70;43;27;0;0;0;35;29;6;0;0
2020;ISERE;0383550C;PRIVE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;ISERE;0380089R;PUBLIC;205;116;89;40;0;40;14;7;7;41;20;21;0;0;0;0;0;0;0;0
2020;ISERE;0380091T;PUBLIC;235;158;77;0;0;0;0;0;0;71;44;27;0;0;0;0;0;0;0;0
2020;ISERE;0380092U;PUBLIC;129;18;111;197;20;177;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;ISERE;0381683Y;PRIVE;104;64;40;0;0;0;0;0;0;26;11;15;58;55;3;0;0;0;0;0
2020;SAVOIE;0730003G;PUBLIC;228;122;106;0;0;0;0;0;0;61;30;31;0;0;0;0;0;0;0;0
2020;SAVOIE;0730759D;PRIVE;7;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;SAVOIE;0731040J;PRIVE;14;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;SAVOIE;0730005J;PUBLIC;222;136;86;0;0;0;0;0;0;44;23;21;0;0;0;0;0;0;0;0
2020;SAVOIE;0730760E;PRIVE;59;33;26;0;0;0;0;0;0;23;13;10;0;0;0;0;0;0;0;0
2020;SAVOIE;0731507S;PUBLIC;80;43;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;SAVOIE;0730013T;PUBLIC;327;219;108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;SAVOIE;0730016W;PUBLIC;205;100;105;82;7;75;0;0;0;117;69;48;0;0;0;0;0;0;0;0
2020;SAVOIE;0730763H;PRIVE;192;98;94;18;0;18;0;0;0;48;26;22;24;22;2;0;0;0;0;0
2020;SAVOIE;0731248K;PUBLIC;232;115;117;41;0;41;36;24;12;0;0;0;0;0;0;0;0;0;0;0
2020;SAVOIE;0731392S;PUBLIC;258;156;102;0;0;0;0;0;0;78;43;35;60;55;5;0;0;0;0;0
2020;SAVOIE;0730029K;PUBLIC;171;99;72;0;0;0;0;0;0;58;29;29;0;0;0;0;0;0;0;0
2020;SAVOIE;0730037U;PUBLIC;152;92;60;14;1;13;0;0;0;51;22;29;0;0;0;0;0;0;0;0
2020;SAVOIE;0730043A;PUBLIC;102;32;70;51;4;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;AIN;0011194T;PUBLIC;328;190;138;56;2;54;43;29;14;68;33;35;0;0;0;0;0;0;0;0
2020;AIN;0010010F;PUBLIC;151;88;63;0;0;0;0;0;0;41;21;20;0;0;0;0;0;0;0;0
2020;AIN;0010069V;PRIVE;44;21;23;21;0;21;0;0;0;0;0;0;22;20;2;0;0;0;0;0
2020;AIN;0011119L;PUBLIC;136;72;64;68;5;63;0;0;0;0;0;0;0;0;0;33;21;12;0;0
2020;AIN;0010013J;PUBLIC;353;218;135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;AIN;0010014K;PUBLIC;269;192;77;0;0;0;23;16;7;77;57;20;63;57;6;0;0;0;0;0
2020;AIN;0010016M;PUBLIC;200;69;131;133;12;121;0;0;0;123;44;79;0;0;0;0;0;0;0;0
2020;AIN;0010070W;PRIVE;155;90;65;0;0;0;0;0;0;22;11;11;0;0;0;0;0;0;0;0
2020;AIN;0010878Z;PRIVE;110;66;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;AIN;0010072Y;PUBLIC;533;275;258;0;0;0;0;0;0;104;49;55;0;0;0;0;0;0;0;0
2020;AIN;0011326L;PUBLIC;345;192;153;0;0;0;0;0;0;72;36;36;0;0;0;0;0;0;0;0
2020;AIN;0010075B;PRIVE;50;30;20;0;0;0;0;0;0;12;3;9;0;0;0;0;0;0;0;0
2020;AIN;0010032E;PUBLIC;109;59;50;0;0;0;0;0;0;0;0;0;35;29;6;0;0;0;0;0
2020;AIN;0010034G;PUBLIC;85;61;24;0;0;0;0;0;0;63;43;20;32;28;4;0;0;0;0;0
2020;AIN;0011431A;PRIVE;33;19;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;AIN;0011276G;PUBLIC;253;145;108;36;2;34;0;0;0;90;48;42;0;0;0;0;0;0;0;0
2020;AIN;0010006B;PUBLIC;110;68;42;42;3;39;0;0;0;39;27;12;0;0;0;0;0;0;0;0
2020;LOIRE;0421976V;PUBLIC;305;175;130;49;5;44;0;0;0;69;40;29;0;0;0;0;0;0;0;0
